City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
83,Berdigestyakh,RU,2021-05-23 16:49:23,62.0989,126.6992,38.34,54,100,5.93
84,Hobart,AU,2021-05-23 16:48:30,-42.8794,147.3294,50.11,89,43,4.0
85,Kitale,KE,2021-05-23 16:49:24,1.0157,35.0062,59.72,92,87,3.76
86,Seddon,AU,2021-05-23 16:49:24,-37.8068,144.8916,52.79,87,0,5.75
87,Tenerife,CO,2021-05-23 16:49:25,9.9003,-74.859,85.64,74,100,4.12
88,Vitim,RU,2021-05-23 16:49:25,59.4511,112.5578,39.6,68,51,3.27
89,Ardakan,IR,2021-05-23 16:49:25,32.31,54.0175,89.98,22,99,4.99
90,Hokitika,NZ,2021-05-23 16:49:25,-42.7167,170.9667,45.46,66,0,6.44
91,Jamestown,US,2021-05-23 16:49:26,42.097,-79.2353,81.72,65,90,11.5
92,Marsa Matruh,EG,2021-05-23 16:49:26,31.3525,27.2453,73.6,56,0,10.36
93,Pevek,RU,2021-05-23 16:49:26,69.7008,170.3133,24.35,91,52,3.87
94,Champerico,GT,2021-05-23 16:49:27,14.3,-91.9167,91.35,60,91,3.96
95,Taksimo,RU,2021-05-23 16:49:27,56.3444,114.8794,38.59,65,100,6.6
96,Mutsu,JP,2021-05-23 16:49:28,41.2894,141.2169,59.0,97,97,5.21
97,Necochea,AR,2021-05-23 16:49:28,-38.5473,-58.7368,57.04,70,100,23.0
98,Qaanaaq,GL,2021-05-23 16:49:28,77.484,-69.3632,30.24,70,79,4.45
99,Prince George,CA,2021-05-23 16:48:44,53.9166,-122.753,57.25,53,1,1.99
100,Firminy,FR,2021-05-23 16:49:29,45.3873,4.2907,61.3,57,0,4.0
101,Arraial Do Cabo,BR,2021-05-23 16:49:29,-22.9661,-42.0278,84.16,61,0,2.3
102,Kaitangata,NZ,2021-05-23 16:49:29,-46.2817,169.8464,48.92,84,95,6.24
103,Husavik,IS,2021-05-23 16:49:29,66.0449,-17.3389,40.91,99,100,9.19
104,Shelbyville,US,2021-05-23 16:47:15,35.4834,-86.4603,86.68,48,1,3.0
105,Port Alfred,ZA,2021-05-23 16:49:30,-33.5906,26.891,65.14,49,52,12.97
106,Port-Gentil,GA,2021-05-23 16:49:30,-0.7193,8.7815,84.16,79,75,11.5
107,Mitsamiouli,KM,2021-05-23 16:49:30,-11.3847,43.2844,79.43,67,35,14.23
108,Hermanus,ZA,2021-05-23 16:49:30,-34.4187,19.2345,64.65,56,40,4.9
109,Puerto Ayora,EC,2021-05-23 16:49:31,-0.7393,-90.3518,80.56,86,49,8.01
110,Revelstoke,CA,2021-05-23 16:49:31,50.9832,-118.2023,53.62,62,75,2.3
111,Vaini,TO,2021-05-23 16:49:31,-21.2,-175.2,71.76,94,90,2.3
112,Maputo,MZ,2021-05-23 16:48:03,-25.9653,32.5892,69.48,78,20,3.0
113,Aswan,EG,2021-05-23 16:49:32,24.0934,32.907,88.74,11,0,9.73
114,Goderich,CA,2021-05-23 16:49:32,43.7501,-81.7165,70.12,73,99,8.05
115,Upernavik,GL,2021-05-23 16:49:32,72.7868,-56.1549,29.28,82,95,4.05
116,Severo-Yeniseyskiy,RU,2021-05-23 16:49:33,60.3725,93.0408,45.36,98,92,5.84
117,Tiksi,RU,2021-05-23 16:49:33,71.6872,128.8694,24.85,80,47,9.37
118,Severo-Kurilsk,RU,2021-05-23 16:49:33,50.6789,156.125,42.37,68,20,2.59
119,Syracuse,IT,2021-05-23 16:49:34,37.0881,15.2792,84.43,66,1,13.89
120,Celestun,MX,2021-05-23 16:49:34,20.8667,-90.4,86.13,62,97,9.06
121,Ouahigouya,BF,2021-05-23 16:49:34,13.5828,-2.4216,104.13,18,14,3.76
122,Ponta Do Sol,PT,2021-05-23 16:49:35,32.6667,-17.1,70.12,55,80,6.51
123,Vredendal,ZA,2021-05-23 16:49:35,-31.6683,18.5012,72.68,20,2,9.66
124,Lebu,CL,2021-05-23 16:49:35,-37.6167,-73.65,55.29,68,41,6.13
125,Ranfurly,NZ,2021-05-23 16:49:35,-45.1333,170.1,39.65,88,80,0.63
126,Mairana,BO,2021-05-23 16:49:36,-18.1167,-63.9333,50.34,71,100,3.74
127,Santa Maria Del Monte,MX,2021-05-23 16:49:36,19.2878,-99.8228,65.62,34,34,3.27
128,Trelew,AR,2021-05-23 16:49:36,-43.249,-65.3051,56.84,50,5,8.79
129,Kuching,MY,2021-05-23 16:49:37,1.55,110.3333,73.62,94,20,2.3
130,East London,ZA,2021-05-23 16:44:46,-33.0153,27.9116,65.34,72,0,5.75
131,Gambela,ET,2021-05-23 16:49:37,8.25,34.5833,77.79,74,88,4.76
132,Ahipara,NZ,2021-05-23 16:49:38,-35.1667,173.1667,58.42,75,100,17.13
133,Avarua,CK,2021-05-23 16:48:12,-21.2078,-159.775,78.85,83,90,9.22
134,Doha,QA,2021-05-23 16:47:31,25.2867,51.5333,98.91,29,0,5.75
135,Kruisfontein,ZA,2021-05-23 16:49:38,-34.0033,24.7314,57.88,44,73,4.16
136,Menongue,AO,2021-05-23 16:49:39,-14.6585,17.691,64.85,40,0,5.06
137,Bilma,NE,2021-05-23 16:49:39,18.6853,12.9164,100.69,7,0,3.94
