City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Coahuayana,MX,18.7333,-103.6833,94.48,29,81,6.71,broken clouds
248,San Joaquin,US,37.9333,-121.3011,74.35,56,1,17.27,clear sky
249,Hearst,CA,49.6835,-83.6665,65.3,21,10,4.43,clear sky
250,Komsomolets,KZ,53.7453,62.0708,68.27,35,84,8.14,broken clouds
251,Tuatapere,NZ,-46.1333,167.6833,49.82,94,100,7.09,light rain
252,Tuktoyaktuk,CA,69.4541,-133.0374,31.77,75,100,7.99,overcast clouds
253,Cerrito,CO,6.8432,-72.694,54.79,90,90,1.72,overcast clouds
254,Oum Hadjer,TD,13.2954,19.6966,101.95,7,11,9.19,few clouds
255,Chizhou,CN,30.6578,117.4831,69.22,92,95,7.07,light rain
256,Piacabucu,BR,-10.4056,-36.4344,81.68,62,65,9.53,broken clouds
257,Fairbanks,US,64.8378,-147.7164,43.09,52,58,1.01,broken clouds
258,Khandyga,RU,62.6667,135.6,49.69,94,100,5.37,light rain
259,Shelburne,CA,44.0787,-80.2041,58.91,30,84,13.71,broken clouds
260,Qaanaaq,GL,77.484,-69.3632,32.27,94,36,5.84,scattered clouds
261,Saskylakh,RU,71.9167,114.0833,29.79,96,16,6.58,few clouds
262,Mukhtolovo,RU,55.4644,43.1953,61.07,93,43,7.38,scattered clouds
263,Acari,PE,-15.4311,-74.6158,76.32,54,68,7.72,broken clouds
264,Ola,RU,59.5833,151.2833,37.17,94,100,2.39,overcast clouds
265,Abu Samrah,SY,35.3029,37.1841,74.16,40,0,12.57,clear sky
266,Faya,SA,18.3851,42.4509,70.32,40,93,7.38,overcast clouds
267,Kodinsk,RU,58.6881,99.1844,36.48,80,100,7.76,overcast clouds
268,Chokurdakh,RU,70.6333,147.9167,45.09,59,9,9.1,clear sky
269,Koungou,YT,-12.7336,45.2042,80.31,74,40,8.77,scattered clouds
270,Alta Floresta,BR,-9.8756,-56.0861,86.74,43,11,3.56,few clouds
271,Armeria,MX,18.9333,-103.9667,94.3,30,94,6.35,overcast clouds
272,Richards Bay,ZA,-28.783,32.0377,66.81,77,14,6.2,few clouds
273,Souillac,MU,-20.5167,57.5167,77.38,88,75,5.61,light rain
274,Okitipupa,NG,6.5047,4.7839,81.5,81,100,4.94,overcast clouds
275,Lugui,PH,14.1131,122.7935,76.48,92,71,1.59,broken clouds
276,Vitre,FR,48.1178,-1.2058,67.82,86,100,6.4,overcast clouds
277,Naze,JP,28.3667,129.4833,66.63,87,100,6.73,overcast clouds
278,High Prairie,CA,55.4334,-116.4858,56.44,61,26,12.21,scattered clouds
279,Elban,RU,50.1018,136.5094,49.1,79,100,8.52,overcast clouds
280,Buala,SB,-8.145,159.5921,76.73,89,100,4.65,overcast clouds
281,Talbahat,IN,25.05,78.4333,92.43,36,78,7.61,broken clouds
282,Novodolinskiy,KZ,49.705,72.7047,52.38,30,38,14.79,scattered clouds
283,Khudumelapye,BW,-23.8833,24.75,61.99,22,12,8.7,few clouds
284,Omboue,GA,-1.5746,9.2618,78.28,87,91,6.98,light rain
285,Waw,SS,7.7029,27.9953,85.86,43,57,5.57,broken clouds
286,Talcahuano,CL,-36.7167,-73.1167,53.91,68,100,7.99,light rain
287,Russell,US,32.3502,-85.1999,80.11,53,40,11.41,scattered clouds
288,Egvekinot,RU,66.3167,-179.1667,31.42,63,61,8.23,broken clouds
289,Izumo,JP,35.3667,132.7667,58.26,70,91,4.83,overcast clouds
290,Aklavik,CA,68.2191,-135.0107,30.2,86,90,6.91,overcast clouds
291,Sola,VU,-13.8833,167.55,78.21,69,96,14.67,overcast clouds
292,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,71,74,2.71,broken clouds
293,Pangoa,PE,-12.1167,-73.0,85.24,50,22,4.34,few clouds
294,Rudbar,AF,30.15,62.6,92.97,11,0,8.14,clear sky
295,Saint George,US,37.1041,-113.5841,87.35,14,1,1.01,clear sky
296,Siyabuswa,ZA,-25.1132,29.0445,63.3,23,0,6.02,clear sky
297,Nyurba,RU,63.2842,118.3319,51.15,56,11,2.8,few clouds
298,Deputatskiy,RU,69.3,139.9,42.26,59,68,6.91,broken clouds
299,Sarevere,EE,58.79,25.4281,54.93,49,4,6.58,clear sky
300,Kwekwe,ZW,-18.9281,29.8149,59.97,25,0,0.45,clear sky
301,Cascais,PT,38.6979,-9.4215,74.55,60,20,13.0,few clouds
302,Robe,AU,-37.1833,139.75,45.55,87,0,9.22,clear sky
303,Namatanai,PG,-3.6667,152.4333,79.61,84,100,6.85,overcast clouds
304,Poum,NC,-20.2333,164.0167,70.9,65,88,20.2,overcast clouds
305,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.61,60,44,9.66,scattered clouds
306,Sungaipenuh,ID,-2.0833,101.3833,65.32,95,100,3.78,overcast clouds
307,Mildura,AU,-34.2,142.15,33.76,93,0,3.44,clear sky
308,Vrangel,RU,42.7297,133.0839,49.05,96,86,8.25,overcast clouds
309,Olinda,BR,-8.0089,-34.8553,80.33,61,20,13.27,few clouds
310,Taoudenni,ML,22.6783,-3.9836,114.24,4,37,21.16,scattered clouds
311,Derzhavinsk,KZ,51.1,66.3167,71.06,28,40,10.4,scattered clouds
312,Rochegda,RU,62.8,43.25,41.88,62,46,10.11,scattered clouds
313,Olafsvik,IS,64.8945,-23.7142,46.29,87,60,25.14,light rain
314,Tazovskiy,RU,67.4667,78.7,39.88,62,62,15.37,broken clouds
315,San Jose,US,37.3394,-121.895,65.86,66,75,3.44,broken clouds
316,Faanui,PF,-16.4833,-151.75,79.12,70,74,3.71,broken clouds
317,Kovernino,RU,57.1253,43.8142,56.97,70,92,13.53,light rain
